Region,Era,WHM,OHM
northern-africa,-3000 to -1500,2.273268,0.400498
northern-africa,-1500 to -500,2.973093,0.443869
northern-africa,-500 to 0,4.872761,1.822040
northern-africa,0 to 500,4.243079,4.834129
northern-africa,500 to 1000,4.980575,6.687581
northern-africa,1000 to 1500,6.716383,1.501461
northern-africa,1500 to 1700,3.931056,3.196376
northern-africa,1700 to 1800,1.963784,1.841566
northern-africa,1800 to 1900,2.052511,2.772834
northern-africa,1900 to 2014,5.196349,6.841382
sub-saharan-africa,0 to 500,0.134034,2.815528
sub-saharan-africa,500 to 1000,1.341886,6.569202
sub-saharan-africa,1000 to 1500,6.857055,5.783630
sub-saharan-africa,1500 to 1700,6.947725,2.082701
sub-saharan-africa,1700 to 1800,4.123923,0.831837
sub-saharan-africa,1800 to 1900,5.500799,3.411514
sub-saharan-africa,1900 to 2014,16.200268,17.834347
latin-america-and-the-caribbean,-1500 to -500,0.000000,0.000289
latin-america-and-the-caribbean,-500 to 0,0.000000,0.183768
latin-america-and-the-caribbean,0 to 500,0.059072,1.594243
latin-america-and-the-caribbean,500 to 1000,0.728537,4.048889
latin-america-and-the-caribbean,1000 to 1500,0.886931,4.179664
latin-america-and-the-caribbean,1500 to 1700,6.984065,29.408715
latin-america-and-the-caribbean,1700 to 1800,9.498113,17.415736
latin-america-and-the-caribbean,1800 to 1900,11.243427,15.245680
latin-america-and-the-caribbean,1900 to 2014,13.001930,16.420574
northern-america,-3000 to -1500,0.000000,1.212363
northern-america,-1500 to -500,0.000000,0.808242
northern-america,-500 to 0,0.000000,0.404121
northern-america,0 to 500,0.000000,0.404121
northern-america,500 to 1000,0.000000,0.408235
northern-america,1000 to 1500,0.000000,0.523751
northern-america,1500 to 1700,0.336030,7.586823
northern-america,1700 to 1800,4.886002,16.018218
northern-america,1800 to 1900,9.197972,16.899717
northern-america,1900 to 2014,12.656915,18.041443
central-asia,-1500 to -500,0.091486,0.000000
central-asia,-500 to 0,1.428878,0.045332
central-asia,0 to 500,1.761129,0.041111
central-asia,500 to 1000,3.174659,1.004013
central-asia,1000 to 1500,7.811673,5.060132
central-asia,1500 to 1700,5.066766,4.152416
central-asia,1700 to 1800,2.371619,2.533509
central-asia,1800 to 1900,2.017144,2.215184
central-asia,1900 to 2014,2.384658,3.034454
eastern-asia,-3000 to -1500,0.249044,0.977150
eastern-asia,-1500 to -500,4.694682,2.270794
eastern-asia,-500 to 0,12.046844,3.041014
eastern-asia,0 to 500,18.615716,0.760561
eastern-asia,500 to 1000,23.589217,0.256682
eastern-asia,1000 to 1500,27.523165,5.409850
eastern-asia,1500 to 1700,13.774367,3.955815
eastern-asia,1700 to 1800,6.305656,7.916174
eastern-asia,1800 to 1900,5.992195,7.922910
eastern-asia,1900 to 2014,7.133263,9.987198
south-eastern-asia,-500 to 0,0.102781,0.127005
south-eastern-asia,0 to 500,2.073074,0.053739
south-eastern-asia,500 to 1000,4.255769,0.172280
south-eastern-asia,1000 to 1500,6.593624,1.203899
south-eastern-asia,1500 to 1700,4.210436,2.168341
south-eastern-asia,1700 to 1800,2.517127,1.545542
south-eastern-asia,1800 to 1900,2.513434,3.074209
south-eastern-asia,1900 to 2014,3.116623,5.330763
southern-asia,-3000 to -1500,1.913121,6.464871
southern-asia,-1500 to -500,3.666622,0.979456
southern-asia,-500 to 0,12.415163,3.072575
southern-asia,0 to 500,16.227207,2.841418
southern-asia,500 to 1000,16.650460,7.469193
southern-asia,1000 to 1500,16.717279,13.480249
southern-asia,1500 to 1700,7.574457,3.037665
southern-asia,1700 to 1800,3.925868,3.260205
southern-asia,1800 to 1900,3.424880,4.170262
southern-asia,1900 to 2014,4.650609,5.373225
western-asia,-3000 to -1500,1.351119,0.642761
western-asia,-1500 to -500,4.055253,0.752571
western-asia,-500 to 0,4.543813,1.187713
western-asia,0 to 500,4.562124,4.227649
western-asia,500 to 1000,7.677252,12.259904
western-asia,1000 to 1500,6.486158,10.062434
western-asia,1500 to 1700,2.716845,2.519320
western-asia,1700 to 1800,1.318550,1.373529
western-asia,1800 to 1900,1.540097,1.478869
western-asia,1900 to 2014,2.941471,3.040313
eastern-europe,-3000 to -1500,0.000000,0.642266
eastern-europe,-1500 to -500,0.026948,0.000000
eastern-europe,-500 to 0,1.019719,0.067847
eastern-europe,0 to 500,1.650465,0.699438
eastern-europe,500 to 1000,4.223686,0.495822
eastern-europe,1000 to 1500,15.272139,8.492661
eastern-europe,1500 to 1700,12.506675,7.444017
eastern-europe,1700 to 1800,8.829584,12.106725
eastern-europe,1800 to 1900,8.798710,12.532950
eastern-europe,1900 to 2014,11.008455,14.644094
northern-europe,-1500 to -500,0.000000,0.006352
northern-europe,-500 to 0,0.000046,0.032439
northern-europe,0 to 500,0.295887,0.445049
northern-europe,500 to 1000,0.814128,1.034187
northern-europe,1000 to 1500,4.275983,6.036483
northern-europe,1500 to 1700,2.397709,2.722786
northern-europe,1700 to 1800,1.204558,1.363918
northern-europe,1800 to 1900,0.998178,1.358999
northern-europe,1900 to 2014,1.254859,1.672325
southern-europe,-3000 to -1500,0.015649,0.084054
southern-europe,-1500 to -500,0.594066,0.163644
southern-europe,-500 to 0,1.645578,1.313811
southern-europe,0 to 500,3.630541,4.564448
southern-europe,500 to 1000,3.683109,3.880403
southern-europe,1000 to 1500,4.245884,3.561836
southern-europe,1500 to 1700,1.700957,1.716482
southern-europe,1700 to 1800,0.845414,0.911565
southern-europe,1800 to 1900,0.800896,0.937088
southern-europe,1900 to 2014,1.132658,1.161307
western-europe,-3000 to -1500,0.000000,0.009755
western-europe,-1500 to -500,0.009774,0.000000
western-europe,-500 to 0,0.295944,0.330762
western-europe,0 to 500,2.312521,2.757276
western-europe,500 to 1000,3.229947,2.556583
western-europe,1000 to 1500,3.671477,1.040580
western-europe,1500 to 1700,1.448437,0.177254
western-europe,1700 to 1800,0.729095,0.550442
western-europe,1800 to 1900,0.668898,0.840487
western-europe,1900 to 2014,0.800794,0.884551
australia-and-new-zealand,1700 to 1800,0.001363,0.322286
australia-and-new-zealand,1800 to 1900,3.718922,4.596176
australia-and-new-zealand,1900 to 2014,6.035146,6.090445
melanesia,1700 to 1800,0.000000,0.000012
melanesia,1800 to 1900,0.062653,0.071335
melanesia,1900 to 2014,0.402541,0.505367
micronesia,1500 to 1700,0.000000,0.002174
micronesia,1700 to 1800,0.000000,0.005900
micronesia,1800 to 1900,0.000294,0.007317
micronesia,1900 to 2014,0.001568,0.107306
polynesia,1800 to 1900,0.000559,0.007078
polynesia,1900 to 2014,0.004668,0.145301
